cidade,estado,latitude,longitude,timestamp,temperatura_max,temperatura_min,prob_chuva_max,prob_chuva_media,prob_chuva_min,quantidade_chuva,sensacao_termica_max,sensacao_termica_min,velocidade_vento_max,direcao_vento,duracao_sol,uv_max
Cafelândia,Paraná,-24.6176963,-53.3218057,2025-05-10,23.8,16.3,73,7,0,1.8,24.3,14.9,15.9,175,36646.18,5.7
Cafelândia,Paraná,-24.6176963,-53.3218057,2025-05-11,22.9,14.3,0,0,0,0.0,23.5,12.7,15.2,133,36720.14,5.65
Cafelândia,Paraná,-24.6176963,-53.3218057,2025-05-12,23.3,14.2,3,0,0,0.0,24.1,14.1,16.2,87,35166.8,5.6
Cafezal do Sul,Paraná,-23.900508,-53.512418,2025-05-10,24.2,17.7,95,11,0,3.3,26.0,18.7,12.2,225,32237.36,5.75
Cafezal do Sul,Paraná,-23.900508,-53.512418,2025-05-11,24.7,14.7,0,0,0,0.0,26.4,14.7,9.9,146,36879.14,5.75
Cafezal do Sul,Paraná,-23.900508,-53.512418,2025-05-12,24.0,15.7,5,0,0,0.0,25.3,16.3,12.3,81,35731.8,5.7
Califórnia,Paraná,-23.6672543,-51.3554556,2025-05-10,21.5,16.4,93,56,0,20.6,24.0,17.4,9.2,271,19395.04,5.55
Califórnia,Paraná,-23.6672543,-51.3554556,2025-05-11,22.0,15.1,3,0,0,0.0,22.2,13.8,15.0,92,36059.6,5.75
Califórnia,Paraná,-23.6672543,-51.3554556,2025-05-12,20.2,13.5,5,1,0,0.0,19.1,12.4,21.2,82,35146.53,5.65
Cambará,Paraná,-23.042273,-50.075281,2025-05-10,26.7,20.4,88,42,0,9.3,31.1,23.4,8.7,225,3428.12,5.0
Cambará,Paraná,-23.042273,-50.075281,2025-05-11,22.6,17.2,45,13,3,0.0,23.7,16.6,19.7,120,17928.06,5.4
Cambará,Paraná,-23.042273,-50.075281,2025-05-12,23.9,16.4,16,8,0,1.7,24.1,15.9,22.4,114,29949.99,5.7
Cambé,Paraná,-23.2782035,-51.2779583,2025-05-10,23.3,18.0,93,57,0,7.8,26.3,19.3,10.2,268,15752.73,5.1
Cambé,Paraná,-23.2782035,-51.2779583,2025-05-11,22.9,15.5,3,1,0,0.0,22.9,15.0,17.0,109,35622.18,5.55
Cambé,Paraná,-23.2782035,-51.2779583,2025-05-12,21.4,14.5,8,3,0,0.1,21.3,13.5,20.9,110,31259.18,5.75
Cambira,Paraná,-23.6002773,-51.5809914,2025-05-10,21.5,16.4,93,56,0,20.6,24.0,17.4,9.2,271,19395.04,5.65
Cambira,Paraná,-23.6002773,-51.5809914,2025-05-11,22.0,15.1,3,0,0,0.0,22.2,13.8,15.0,92,36059.6,5.55
Cambira,Paraná,-23.6002773,-51.5809914,2025-05-12,20.2,13.5,5,1,0,0.0,19.2,12.4,21.2,82,35146.53,5.75
Campina da Lagoa,Paraná,-24.5937926,-52.8038965,2025-05-10,25.6,16.7,100,17,0,3.2,26.5,16.9,14.5,194,34498.74,5.7
Campina da Lagoa,Paraná,-24.5937926,-52.8038965,2025-05-11,24.5,12.5,0,0,0,0.0,26.0,11.9,10.5,128,35479.75,5.65
Campina da Lagoa,Paraná,-24.5937926,-52.8038965,2025-05-12,24.7,13.0,3,0,0,0.1,25.4,12.8,13.0,82,34704.18,5.6
Campina do Simão,Paraná,-25.1086375,-51.8076658,2025-05-10,22.0,12.5,98,24,0,5.1,23.2,11.9,11.4,177,33902.09,5.85
Campina do Simão,Paraná,-25.1086375,-51.8076658,2025-05-11,20.5,8.9,0,0,0,0.0,20.3,6.7,14.6,101,36236.57,5.8
Campina do Simão,Paraná,-25.1086375,-51.8076658,2025-05-12,20.3,10.5,3,1,0,0.0,19.7,8.3,18.2,76,34877.57,5.75
Campina Grande do Sul,Paraná,-25.3046032,-49.0545355,2025-05-10,21.4,14.4,98,44,3,9.3,22.6,14.4,8.9,130,1509.56,3.05
Campina Grande do Sul,Paraná,-25.3046032,-49.0545355,2025-05-11,16.7,12.7,0,0,0,0.0,16.0,12.6,10.9,113,18876.53,5.6
Campina Grande do Sul,Paraná,-25.3046032,-49.0545355,2025-05-12,15.8,12.8,3,0,0,0.0,15.8,12.1,13.0,106,0.0,5.6
Campo Bonito,Paraná,-25.0328004,-52.992976,2025-05-10,22.7,15.1,70,6,0,1.1,23.6,14.1,16.0,181,35062.46,5.75
Campo Bonito,Paraná,-25.0328004,-52.992976,2025-05-11,22.4,10.5,3,0,0,0.0,22.9,9.4,9.5,149,36639.69,5.75
Campo Bonito,Paraná,-25.0328004,-52.992976,2025-05-12,22.9,12.4,0,0,0,0.0,23.6,12.0,13.0,59,35351.49,5.7
